Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1294692,I Shall Not Be Moved,Maya Angelou,"Angelou, Maya",,"=""0394586182""","=""9780394586182""",4,4.19,Random House,Hardcover,48,1990,1990,2018/11/05,2018/11/05,,,read,,,,1,,,0,,,,,
39929501,Citizen Illegal,José Olivarez,"Olivarez, José",,"=""1608469549""","=""9781608469543""",3,4.47,Haymarket Books,Paperback,69,2018,2018,2018/11/05,2018/11/05,,,read,,,,1,,,0,,,,,
38355410,Elevation,Stephen King,"King, Stephen",Mark Edward Geyer,"=""1982102314""","=""9781982102319""",4,3.68,Scribner ,Hardcover,146,2018,2018,2018/10/31,2018/10/31,,,read,,,,1,,,0,,,,,
26135825,Fun Home: A Family Tragicomic,Alison Bechdel,"Bechdel, Alison",,"=""0618871713""","=""9780618871711""",5,4.08,Mariner Books,Paperback,232,2007,2006,2018/10/27,2018/10/27,,,read,,,,1,,,0,,,,,
832794,Pet Sematary,Stephen King,"King, Stephen",,"=""""","=""""",4,3.98,Signet / Penguin Books,Mass Market Paperback,411,1984,1983,2018/10/24,2018/10/21,,,read,,,,1,,,0,,,,,
37490868,Foe,Iain Reid,"Reid, Iain",Jacques Roy,"=""1508245304""","=""9781508245308""",5,3.67,Simon  Schuster Audio,Audiobook,,2018,2018,2018/10/17,2018/10/17,,,read,,,,1,,,0,,,,,
39507318,The Library Book,Susan Orlean,"Orlean, Susan",,"=""1476740186""","=""9781476740188""",4,3.95,Simon & Schuster,Hardcover,336,2018,2018,2018/10/15,2018/10/11,,,read,,,,1,,,0,,,,,
3419610,The Man in the Picture,Susan Hill,"Hill, Susan",,"=""1590200918""","=""9781590200919""",4,3.59,Harry N. Abrams,Hardcover,145,2008,2007,2018/10/11,2018/10/10,,,read,,,,1,,,0,,,,,
286957,The Yellow Wall-Paper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Elaine Hedges,"=""1558611584""","=""9781558611580""",3,4.11,The Feminist Press at CUNY,Paperback,64,1996,1892,2018/04/10,2018/04/10,,,read,,,,1,,,0,,,,,
36348514,The Third Hotel,Laura van den Berg,"Berg, Laura van den",,"=""0374168350""","=""9780374168353""",3,3.25,"Farrar, Straus and Giroux",Hardcover,212,2018,2018,2018/08/12,2018/08/12,,,read,,,,1,,,0,,,,,
18196588,Three Scenarios In Which Hana Sasaki Grows A Tail,Kelly Luce,"Luce, Kelly",,"=""0989275914""","=""9780989275910""",3,4.31,A Strange Object,Paperback,137,2013,2013,2018/08/20,2018/08/20,,,read,,,,1,,,0,,,,,
37534894,The Chrysalis,Brendan Deneen,"Deneen, Brendan",,"=""076539555X""","=""9780765395559""",2,3.16,Tor Books,Hardcover,304,2018,2018,2018/10/09,2018/10/09,,,read,,,,1,,,0,,,,,
37880094,"The Lady's Guide to Petticoats and Piracy (Montague Siblings, #2)",Mackenzi Lee,"Lee, Mackenzi",,"=""0062795325""","=""9780062795328""",4,4.13,Katherine Tegen Books,Hardcover,450,2018,2018,2018/10/09,2018/08/22,,,read,,,,1,,,0,,,,,
36513009,When the Lights Go Out,Mary Kubica,"Kubica, Mary",,"=""""","=""""",3,3.19,Park Row,Kindle Edition,336,2018,2018,2018/09/30,2018/09/30,,,read,,,,1,,,0,,,,,
13113790,The Third Reich,Roberto Bolaño,"Bolaño, Roberto",Natasha Wimmer,"=""0330510541""","=""9780330510547""",4,3.50,Picador,Hardcover,277,2012,1989,2018/09/30,2018/08/23,,,read,,,,1,,,0,,,,,
30763882,Fever Dream,Samanta Schweblin,"Schweblin, Samanta",Megan McDowell,"=""0399184597""","=""9780399184598""",5,3.73,Riverhead Books,Hardcover,192,2017,2014,2018/09/25,2018/09/25,,,read,,,,1,,,0,,,,,
38255342,The Dark Descent of Elizabeth Frankenstein,Kiersten White,"White, Kiersten",,"=""0525577947""","=""9780525577942""",3,3.92,Delacorte Press,Hardcover,304,2018,2018,2018/09/24,2018/09/24,,,read,,,,1,,,0,,,,,
26247042,"Orange: The Complete Collection, Volume 2",Ichigo Takano,"Takano, Ichigo",Amber Tamosaitis,"=""1626922713""","=""9781626922716""",5,4.40,Seven Seas,Paperback,523,2016,2016,2018/09/18,2018/09/18,,,read,,,,1,,,0,,,,,
40545103,The Heathering,Heather Alexander,"Alexander, Heather",,"=""""","=""1110000290739""",1,1.00,big hug publishing,Unknown Binding,58,2018,2018,,2018/06/16,,,read,,,,1,,,0,,,,,
18774959,The Anatomy of Dreams,Chloe  Benjamin,"Benjamin, Chloe",,"=""1476761167""","=""9781476761169""",3,3.39,Atria Books,Paperback,320,2014,2014,2018/01/03,2018/01/03,,,read,,,,1,,,0,,,,,
2930299,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1416556966""","=""9781416556961""",5,4.11,Scribner,Paperback,184,2008,1971,2018/01/13,2018/01/12,,,read,,,,1,,,0,,,,,
27135622,Before,Carmen Boullosa,"Boullosa, Carmen",Peter Bush,"=""1941920284""","=""9781941920282""",2,3.56,Deep Vellum Publishing,Paperback,120,2016,1989,2018/02/08,2018/02/08,,,read,,,,1,,,0,,,,,
63029,Amulet,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""0811216640""","=""9780811216647""",4,3.78,New Directions,Hardcover,192,2007,1999,2018/05/28,2018/05/28,,,read,,,,1,,,0,,,,,
23250725,The Beauty,Aliya Whiteley,"Whiteley, Aliya",,"=""1907389237""","=""9781907389238""",4,3.67,Unsung Stories,Paperback,100,2014,2014,2018/05/22,2018/05/22,,,read,,,,1,,,0,,,,,
18616071,The Bird Eater,Ania Ahlborn,"Ahlborn, Ania",,"=""1480581054""","=""9781480581050""",1,3.48,Brilliance Audio,Audio CD,10,2014,2014,2018/07/02,2018/07/02,,,read,,,,1,,,0,,,,,
25667474,"Orange: The Complete Collection, Volume 1 (Orange: The Complete Collection, #1)",Ichigo Takano,"Takano, Ichigo","Lasse Christian Christiansen, Amber Tamosaitis","=""1626923027""","=""9781626923027""",4,4.43,Seven Seas,Paperback,523,2016,2016,,2018/08/22,,,read,,,,1,,,0,,,,,
26889743,The Joy of Leaving Your Sh*t All Over the Place: The Art of Being Messy,Jennifer McCartney,"McCartney, Jennifer",,"=""1581573871""","=""9781581573879""",3,3.56,Countryman Press,Hardcover,128,2016,2016,2018/08/16,2018/08/16,,,read,,,,1,,,0,,,,,
32871394,The Pisces,Melissa Broder,"Broder, Melissa",,"=""1524761559""","=""9781524761554""",4,3.23,Hogarth Press,Hardcover,270,2018,2018,2018/09/17,2018/09/17,,,read,,,,1,,,0,,,,,
28010270,"Frankenstein: Or, The Modern Prometheus",Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Francine Prose,"=""1632060787""","=""9781632060785""",5,3.79,Restless Books,Paperback,336,2016,1818,2018/09/13,2018/09/13,favorites,favorites (#6),read,,,,1,,,0,,,,,
